time,SBERP,LKOH,GAZP,FIVE,YNDX,SMLT,SVAV,NVDA,VTBR,TRMK,GMKN,FEES,AFLT,FLOT
2021-10-12 07:00:00+00:00,346.61,7306.0,364.1,2407.5,5549.0,4809.8,223.0,,0.05539,96.3,22528.0,0.194,70.7,87.3
2021-10-13 07:00:00+00:00,346.45,7252.0,362.77,2459.5,5553.8,4869.4,232.0,,0.05511,95.32,22718.0,0.19612,70.22,89.32
2021-10-14 07:00:00+00:00,345.3,7215.0,367.0,2430.5,5518.0,4949.0,229.5,,0.05537,94.64,22928.0,0.19752,70.08,88.5
2021-10-15 07:00:00+00:00,341.5,7306.5,367.76,2377.0,5427.2,4808.6,227.5,,0.0556,94.68,23108.0,0.19772,69.68,87.3
2021-10-18 07:00:00+00:00,333.03,7319.0,363.5,2349.0,5488.8,4805.0,232.0,,0.055765,94.04,23120.0,0.19614,69.76,86.84
2021-10-19 07:00:00+00:00,339.92,7373.0,368.83,2380.0,5480.0,4814.0,227.5,,0.0574,95.04,23672.0,0.19696,69.26,86.59
2021-10-20 07:00:00+00:00,338.4,7439.0,369.97,2385.0,5420.2,4800.0,223.5,,0.05661,94.44,23530.0,0.19626,68.58,86.21
2021-10-21 07:00:00+00:00,334.25,7232.0,363.37,2362.0,5390.0,4801.0,226.0,,0.05516,93.3,23210.0,0.19282,67.64,86.68
2021-10-22 07:00:00+00:00,333.0,7200.0,358.12,2388.5,5325.8,4800.2,226.0,,0.0544,93.08,22864.0,0.19318,67.9,86.75
2021-10-25 07:00:00+00:00,338.51,7441.5,364.84,2470.0,5383.0,4813.6,233.0,,0.05617,90.9,23024.0,0.1935,67.84,87.05
2021-10-26 07:00:00+00:00,337.87,7440.5,364.82,2443.0,5309.6,4820.0,238.5,,0.05597,88.36,22688.0,0.1898,67.52,87.03
2021-10-27 07:00:00+00:00,335.92,7323.5,362.17,2474.0,5573.8,4894.2,230.5,,0.05506,86.68,22250.0,0.1881,68.94,86.07
2021-10-28 07:00:00+00:00,329.6,7288.5,353.21,2423.5,5823.0,4860.0,227.5,,0.053765,85.98,22362.0,0.18788,68.18,85.21
2021-10-29 07:00:00+00:00,322.38,7272.5,350.18,2409.0,5879.2,4911.6,228.0,,0.05273,86.7,22170.0,0.1864,68.48,85.2
2021-11-01 07:00:00+00:00,332.99,7293.0,359.1,2422.5,5890.0,4942.0,230.5,,0.05354,88.44,22396.0,0.18758,67.98,86.05
2021-11-02 07:00:00+00:00,331.51,7214.0,352.48,2410.0,5942.4,4900.4,230.5,,0.05282,89.06,22134.0,0.18316,67.64,85.9
2021-11-03 07:00:00+00:00,335.02,7175.0,353.02,2420.0,6027.0,4915.0,226.0,,0.052885,88.42,22038.0,0.1824,67.92,87.0
2021-11-05 07:00:00+00:00,327.66,7199.0,350.6,2390.0,6120.0,4910.2,225.5,,0.052815,86.78,21664.0,0.18046,68.42,85.84
2021-11-08 07:00:00+00:00,325.52,7208.5,351.47,2417.0,6161.0,4890.0,227.0,,0.05237,86.5,21872.0,0.18166,68.8,85.84
2021-11-09 07:00:00+00:00,326.5,7188.0,349.46,2455.5,5990.4,4894.0,239.0,,0.05152,86.16,22188.0,0.18356,68.6,85.59
2021-11-10 07:00:00+00:00,318.58,7137.5,345.8,2442.5,5857.8,4851.4,249.5,,0.050025,86.32,21694.0,0.17982,67.84,84.83
2021-11-11 07:00:00+00:00,324.15,7094.5,347.44,2430.5,5966.6,4854.0,237.0,,0.05125,85.98,22050.0,0.18248,67.08,84.72
2021-11-12 07:00:00+00:00,316.7,6878.0,333.6,2401.0,5970.2,4885.0,232.0,,0.05029,84.6,22100.0,0.18138,65.98,84.39
2021-11-15 07:00:00+00:00,315.89,6918.5,340.3,2390.0,5928.4,4860.0,234.0,,0.05189,84.9,22358.0,0.18188,67.68,84.5
2021-11-16 07:00:00+00:00,310.58,6946.5,336.79,2362.5,5936.4,4830.0,229.5,,0.05104,83.22,22626.0,0.18142,67.1,84.09
2021-11-17 07:00:00+00:00,311.48,6884.5,349.98,2344.5,5931.6,4830.0,231.0,,0.051565,83.02,22532.0,0.18048,66.92,83.8
2021-11-18 07:00:00+00:00,309.1,6840.0,345.56,2291.0,5993.8,4724.0,233.0,,0.05255,83.0,22292.0,0.18022,67.14,84.02
2021-11-19 07:00:00+00:00,302.0,6709.0,337.62,2249.0,5968.8,4730.0,230.0,,0.050495,81.52,22140.0,0.179,66.04,83.78
2021-11-22 07:00:00+00:00,288.7,6575.5,319.2,2205.5,5450.0,4741.0,218.0,,0.048405,77.54,21850.0,0.17394,65.2,82.81
2021-11-23 07:00:00+00:00,303.95,6829.5,341.77,2195.0,5571.0,4630.0,220.0,,0.049875,79.24,22400.0,0.17578,64.72,83.0
2021-11-24 07:00:00+00:00,298.89,6814.5,338.3,2176.0,5542.2,4687.4,219.0,,0.04935,79.0,22182.0,0.17314,64.22,82.75
2021-11-25 07:00:00+00:00,296.2,6661.5,337.55,2180.0,5552.8,4704.8,221.5,,0.04879,85.2,22128.0,0.17336,64.7,82.5
